
════════════════════════════════════════════════════════════
🔍  Level: C  (dry run)
  ✅  u-c-281  norsk="å drive noen til vanvidd"
  ✅  u-c-282  norsk="å skjenne på noen"
  ✅  u-c-283  norsk="å ligge på tvers"
  ✅  u-c-284  norsk="forholdet ryker"
  ✅  u-c-285  norsk="ikke fortrekke en mine"
  ✅  u-c-286  norsk="på havsens bunn"
  ✅  u-c-287  norsk="å dette så lang man er"
  ✅  u-c-288  norsk="å svømme om kapp"
  ✅  u-c-289  norsk="å stusse over"
  ✅  u-c-290  norsk="å være på nippet til"
  ✅  u-c-291  norsk="å være til å ta og føle på"
  ✅  u-c-292  norsk="å sette noe på spissen"
  ✅  u-c-293  norsk="å finne på mye sprell"
  ✅  u-c-294  norsk="å spre seg som ild i tørt gress"
  ✅  u-c-295  norsk="på fem minutter"
  ✅  u-c-296  norsk="å bli satt fast av eksaminator"
  ✅  u-c-297  norsk="å sette huset på ende"
  ✅  u-c-298  norsk="å sette seg verk og betennelse"
  ✅  u-c-299  norsk="å sette himmel og jord i bevegelse"
  ✅  u-c-300  norsk="å sette noen i sving"
  ✅  u-c-301  norsk="å sette hunden på noen"
  ✅  u-c-302  norsk="å sette noe inn med fett"
  ✅  u-c-303  norsk="å ha sine svin på skogen"
  ✅  u-c-304  norsk="å gå i vasken"
  ✅  u-c-305  norsk="å storme en by"
  ✅  u-c-306  norsk="å knipe av et blad"
  ✅  u-c-307  norsk="å sige sammen"
  ✅  u-c-308  norsk="å komme seg på fote igjen"
  ✅  u-c-309  norsk="å bli ribbet"
  ✅  u-c-310  norsk="å være prisgitt"
  ✅  u-c-311  norsk="å gå løs på"
  ✅  u-c-312  norsk="sanden gir etter"
  ✅  u-c-313  norsk="å vanke ute"
  ✅  u-c-314  norsk="å ta noen for seg"
  ✅  u-c-315  norsk="å leve i sus og dus"
  ✅  u-c-316  norsk="å kjenne lusa på gangen"
  ✅  u-c-317  norsk="i rikt monn"
  ✅  u-c-318  norsk="å skjelle ut etter noter"
  ✅  u-c-319  norsk="det går så det suser"
  ✅  u-c-320  norsk="å gråte over spilt melk"
  ✅  u-c-321  norsk="å springe ut"
  ✅  u-c-322  norsk="å jenke kravene"
  ✅  u-c-323  norsk="uforrettet sak"
  ✅  u-c-324  norsk="å sverte hverandre"
  ✅  u-c-325  norsk="spikkes opp i fliser"
  ✅  u-c-326  norsk="antallet barnefødsler stuper"
  ✅  u-c-327  norsk="å rope et varsko"
  ✅  u-c-328  norsk="å dysse ned noe"
  ✅  u-c-329  norsk="å lete med lys og lykte"
  ✅  u-c-330  norsk="å stryke noen med hårene"
  ✅  u-c-331  norsk="å gjøre noen til lags"
  ✅  u-c-332  norsk="å få kreditorene på nakken"
  ✅  u-c-333  norsk="å ta beina på nakken"
  ✅  u-c-334  norsk="å ta seg selv i nakken"
  ✅  u-c-335  norsk="å henge etter med noe"
  ✅  u-c-336  norsk="å ha øyne i nakken"
  ✅  u-c-337  norsk="å gå på med krum hals"
  ✅  u-c-338  norsk="å synge av full hals"
  ✅  u-c-339  norsk="å frastøtes av hverandre"
  ✅  u-c-340  norsk="å havne i en persons besittelse"
  ✅  u-c-341  norsk="det hinsidige"
  ✅  u-c-342  norsk="å være skikket til"
  ✅  u-c-343  norsk="å hinte om"
  ✅  u-c-344  norsk="å fare opp for"
  ✅  u-c-345  norsk="å klapse til noen"
  ✅  u-c-346  norsk="på flyende flekken"
  ✅  u-c-347  norsk="å avfinne seg med noe"
  ✅  u-c-348  norsk="å få sving på sakene"
  ✅  u-c-349  norsk="å ta en time på øret"
  ✅  u-c-350  norsk="å stemme på øret"
  ✅  u-c-351  norsk="å sitte med lange ører"
  ✅  u-c-352  norsk="å komme seg helskinnet gjennom / ut av noe"
  ✅  u-c-353  norsk="å komme til bunns i noe"
  ✅  u-c-354  norsk="å sette sinnene i kok"
  ✅  u-c-355  norsk="å vegre seg for noe"
  ✅  u-c-356  norsk="viden kjent"
  ✅  u-c-357  norsk="å skyte inn et par ord"
  ✅  u-c-358  norsk="trange kår"
  ✅  u-c-359  norsk="å ta til følge"
  ✅  u-c-360  norsk="å være stor i kjeften"
  ✅  u-c-361  norsk="i store trekk"
  ✅  u-c-362  norsk="å ta noe med fatning"
  ✅  u-c-363  norsk="å ferdes til fots"
  ✅  u-c-364  norsk="å gå i lære"
  ✅  u-c-365  norsk="å gå i gulvet med et knas"
  ✅  u-c-366  norsk="å gå i stå"
  ✅  u-c-367  norsk="mot alle odds"
  ✅  u-c-368  norsk="å slakke på barnas leggetider"
  ✅  u-c-369  norsk="å ha overskudd"
  ✅  u-c-370  norsk="å få rede på"
  ✅  u-c-371  norsk="å ha en skrue løs"
  ✅  u-c-372  norsk="å satse liv og lemmer"
  ✅  u-c-373  norsk="å støtte noen i tykt og tynt"
  ✅  u-c-374  norsk="å hinte frampå"
  ✅  u-c-375  norsk="å få med noen å bestille"
  ✅  u-c-376  norsk="å være forunt"
  ✅  u-c-377  norsk="å runde førti"
  ✅  u-c-378  norsk="å kalle en spade for en spade"
  ✅  u-c-379  norsk="å se gjennom fingrene med noe"
  ✅  u-c-380  norsk="ikke henge på greip"
  ✅  u-c-381  norsk="å bule ut"
  ✅  u-c-382  norsk="å herme etter noen"
  ✅  u-c-383  norsk="å ape etter noen"
  ✅  u-c-384  norsk="å gry av dag"
  ✅  u-c-385  norsk="å måtte til"
  ✅  u-c-386  norsk="å bøte med livet"
  ✅  u-c-387  norsk="å vanke premie på noen"
